Epoch: 1, Training Error: 0,05991, Validation Error: 0,05699
Epoch: 2, Training Error: 0,03039, Validation Error: 0,02995
Epoch: 3, Training Error: 0,02352, Validation Error: 0,02403
Epoch: 4, Training Error: 0,02228, Validation Error: 0,02285
Epoch: 5, Training Error: 0,02131, Validation Error: 0,02179
Epoch: 6, Training Error: 0,02028, Validation Error: 0,02067
Epoch: 7, Training Error: 0,01922, Validation Error: 0,01954
Epoch: 8, Training Error: 0,01834, Validation Error: 0,01859
Epoch: 9, Training Error: 0,01769, Validation Error: 0,01789
Epoch: 10, Training Error: 0,01721, Validation Error: 0,01734
Epoch: 11, Training Error: 0,01681, Validation Error: 0,01689
Epoch: 12, Training Error: 0,01648, Validation Error: 0,01650
Epoch: 13, Training Error: 0,01618, Validation Error: 0,01616
Epoch: 14, Training Error: 0,01591, Validation Error: 0,01585
Epoch: 15, Training Error: 0,01567, Validation Error: 0,01557
Epoch: 16, Training Error: 0,01544, Validation Error: 0,01530
Epoch: 17, Training Error: 0,01522, Validation Error: 0,01506
Epoch: 18, Training Error: 0,01501, Validation Error: 0,01482
Epoch: 19, Training Error: 0,01481, Validation Error: 0,01460
Epoch: 20, Training Error: 0,01462, Validation Error: 0,01439
Epoch: 21, Training Error: 0,01443, Validation Error: 0,01419
Epoch: 22, Training Error: 0,01425, Validation Error: 0,01399
Epoch: 23, Training Error: 0,01407, Validation Error: 0,01380
Epoch: 24, Training Error: 0,01389, Validation Error: 0,01362
Epoch: 25, Training Error: 0,01372, Validation Error: 0,01344
Epoch: 26, Training Error: 0,01356, Validation Error: 0,01327
Epoch: 27, Training Error: 0,01339, Validation Error: 0,01310
Epoch: 28, Training Error: 0,01323, Validation Error: 0,01293
Epoch: 29, Training Error: 0,01307, Validation Error: 0,01277
Epoch: 30, Training Error: 0,01292, Validation Error: 0,01262
Epoch: 31, Training Error: 0,01277, Validation Error: 0,01247
Epoch: 32, Training Error: 0,01262, Validation Error: 0,01232
Epoch: 33, Training Error: 0,01247, Validation Error: 0,01218
Epoch: 34, Training Error: 0,01233, Validation Error: 0,01204
Epoch: 35, Training Error: 0,01218, Validation Error: 0,01190
Epoch: 36, Training Error: 0,01204, Validation Error: 0,01177
Epoch: 37, Training Error: 0,01190, Validation Error: 0,01163
Epoch: 38, Training Error: 0,01176, Validation Error: 0,01150
Epoch: 39, Training Error: 0,01162, Validation Error: 0,01137
Epoch: 40, Training Error: 0,01148, Validation Error: 0,01124
Epoch: 41, Training Error: 0,01134, Validation Error: 0,01111
Epoch: 42, Training Error: 0,01120, Validation Error: 0,01099
Epoch: 43, Training Error: 0,01105, Validation Error: 0,01086
Epoch: 44, Training Error: 0,01091, Validation Error: 0,01073
Epoch: 45, Training Error: 0,01077, Validation Error: 0,01060
Epoch: 46, Training Error: 0,01063, Validation Error: 0,01048
Epoch: 47, Training Error: 0,01048, Validation Error: 0,01035
Epoch: 48, Training Error: 0,01034, Validation Error: 0,01023
Epoch: 49, Training Error: 0,01020, Validation Error: 0,01010
Epoch: 50, Training Error: 0,01006, Validation Error: 0,00998
Epoch: 51, Training Error: 0,00991, Validation Error: 0,00986
Epoch: 52, Training Error: 0,00977, Validation Error: 0,00974
Epoch: 53, Training Error: 0,00963, Validation Error: 0,00962
Epoch: 54, Training Error: 0,00949, Validation Error: 0,00950
Epoch: 55, Training Error: 0,00935, Validation Error: 0,00938
Epoch: 56, Training Error: 0,00921, Validation Error: 0,00926
Epoch: 57, Training Error: 0,00908, Validation Error: 0,00914
Epoch: 58, Training Error: 0,00894, Validation Error: 0,00903
Epoch: 59, Training Error: 0,00880, Validation Error: 0,00892
Epoch: 60, Training Error: 0,00867, Validation Error: 0,00881
Epoch: 61, Training Error: 0,00854, Validation Error: 0,00870
Epoch: 62, Training Error: 0,00841, Validation Error: 0,00859
Epoch: 63, Training Error: 0,00827, Validation Error: 0,00848
Epoch: 64, Training Error: 0,00815, Validation Error: 0,00837
Epoch: 65, Training Error: 0,00802, Validation Error: 0,00827
Epoch: 66, Training Error: 0,00789, Validation Error: 0,00816
Epoch: 67, Training Error: 0,00777, Validation Error: 0,00806
